price,artist,title,image,source
800.0,Alan Turner,White Landscape,0.png,orig
3000.0,Kim Gottlieb Walker,Andy Warhol Smiling (Unusual),1.png,orig
680.0,Carolyn Brady,"Green Lamp, Red Table",2.png,orig
680.0,John Newman,Red Through And Through,3.png,orig
3995.0,Harry Callahan,"Brown Grass, Horseneck Beach, Massachusetts",4.png,orig
160000.0,Alex Katz,Black Dress Portfolio,5.png,orig
800.0,Brian O'Doherty,Untitled,6.png,orig
2200.0,Charlemagne Palestine,356 CcornUuoOrphanosS two,7.png,orig
1500.0,Paul Narkiewicz,Nursery,8.png,orig
9500.0,Robert Indiana,"Seasons of Hope, Summer",9.png,orig
800.0,Marcia Scanlon,Millhollow,10.png,orig
3495.0,Harry Callahan,"Beach and Shells, Horseneck Beach, Massachusetts",11.png,orig
2500.0,William Bailey,Stradina,12.png,orig
3000.0,Richard Bernstein,Ruby,13.png,orig
680.0,Jane Kent,"Untitled, A Study For Skating",14.png,orig
3495.0,Kota Ezawa,The Melody of Destiny,15.png,orig
3895.0,Bruce Nauman,Sequence,16.png,orig
680.0,Mark Fox,Below,17.png,orig
15000.0,Zhang Yu,96.6.2,18.png,orig
15000.0,Russell Young,Elvis,19.png,orig
6500.0,Biff Elrod,Other Woman I,20.png,orig
6500.0,Pat Steir,Hand Painted Lily #1,21.png,orig
800.0,Bill Jensen,Original Face,22.png,orig
5000.0,Sterling Ruby,Carvings 1,23.png,orig
2500.0,Julia Noffsinger Rogers,Dappled Light,24.png,orig
800.0,Ron Trujillo,Atlantis Explosion No 4,25.png,orig
7960.0,Carroll  Dunham,Untitled (March_31_2015),26.png,orig
5100.0,Russell Young,Marilyn Hope,27.png,orig
1275.0,Clinton J. Hill,Untitled NBR 58,28.png,orig
800.0,Susana Solano,Plaça Del Joc De La Pilota II,29.png,orig
6000.0,Mieke Marple,Exotic Garden (Venus Fly Trap),30.png,orig
1500.0,Peter Schroth,Landscape Study (Pines),31.png,orig
5000.0,Sterling Ruby,Carvings 5 ,32.png,orig
6000.0,John Fischer,Untitled ,33.png,orig
800.0,Richard Chiriani,"A Schoharie Marsh, Spring",34.png,orig
1500.0,Kika Karadi,Untitled (OPM No. 1),35.png,orig
15000.0,Horst P. Horst,Dali Costumes - Paris,36.png,orig
6000.0,John Fischer,Cain and Abel,37.png,orig
1500.0,Dan Walsh,Viewing Suite III,38.png,orig
5000.0,Richard Bernstein,Iggy Pop,39.png,orig
4000.0,Flip Schulke,Cassius Clay training in a pool at the Sir John Hotel in Miami,40.png,orig
7000.0,Ruth Bernhard,Classic Torso,41.png,orig
30000.0,Michael Ghaui,Zebra on the Mwagusi Sand River ,42.png,orig
800.0,Anthony Gross,Homage To Constable (Salisbury),43.png,orig
24000.0,Ed  Ruscha,Rusty Signs - Dead End 1,44.png,orig
20000.0,Henry Gunderson,Scissor Lock,45.png,orig
8000.0,Sol LeWitt,Horizontal Bands (More or Less) Red/Green,46.png,orig
1500.0,Dennis Leon,Djerassi #8,47.png,orig
13500.0,Charles Green Shaw,Giant Clutch,48.png,orig
7500.0,Matthew Brandt,"Box, SN1987A-4420-sm.tif",49.png,orig
800.0,Jack Knox,Whale,50.png,orig
